image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
0,dataset/origimg/org/image_top523.jpg,0.1240541934967041,0.0,0.25332818181818184,0.07649490888425307,312083.4167407241,6167.524499344896,0.1240541934967041,-1.0,-1.0,0.40594059228897095,-1.0,0.15000000596046448,0.375,0.4000000059604645,-1.0,0.4000000059604645,-1.0
1,dataset/origimg/org/image_top246.jpg,0.5884705185890198,0.0,0.30403833333333335,0.08945404824408709,424130.96769266325,8248.659729248377,0.5884705185890198,-1.0,-1.0,-1.0,0.5884705185890198,0.20000000298023224,1.0,1.0,-1.0,-1.0,1.0
2,dataset/origimg/org/image_open56.jpg,0.0,0.0,0.32936818181818184,0.06162035720872869,317845.4672085568,5974.4140179712695,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
3,dataset/origimg/org/image_top583.jpg,0.20164825022220612,0.0,0.41687461538461534,0.05780912575332212,278731.5229631527,5964.142132746336,0.20164825022220612,-1.0,-1.0,0.4420027732849121,-1.0,0.03750000149011612,0.4375,0.4625000059604645,-1.0,0.4625000059604645,-1.0
4,dataset/origimg/org/image_top529.jpg,0.20863687992095947,0.0,0.4493783333333334,0.12003788927642538,622077.1658378368,11102.602342618522,0.20863687992095947,-1.0,-1.0,0.5049505233764648,-1.0,0.17499999701976776,0.5,0.5,-1.0,0.5,-1.0
5,dataset/origimg/org/image_top11.jpg,0.7238650918006897,0.0,0.2709872727272727,0.06859790354437617,255394.64366847582,6285.062889818347,0.7238650918006897,-1.0,-1.0,-1.0,0.7238650918006897,0.3333333432674408,0.8833333253860474,0.9833333492279053,-1.0,-1.0,0.9833333492279053
6,dataset/origimg/org/image_top49.jpg,0.06980915367603302,0.0,0.3834727272727273,0.07127300034321328,481636.36585815554,5107.007450053613,0.06980915367603302,-1.0,-1.0,0.2574257552623749,-1.0,0.03333333507180214,0.25,0.25,-1.0,0.25,-1.0
7,dataset/origimg/org/image_top274.jpg,0.6227732300758362,0.0,0.33580818181818184,0.08277113831363764,465369.80532973655,8943.974027731316,0.6227732300758362,-1.0,-1.0,1.0,0.6438350677490234,0.30000001192092896,1.0,1.0,-1.0,1.0,1.0
8,dataset/origimg/org/image_open45.jpg,0.09859029203653336,0.0,0.547365,0.10382424233564795,345605.1938729074,7324.99018538418,0.09859029203653336,-1.0,-1.0,0.026402641087770462,0.3575248420238495,0.03750000149011612,0.2750000059604645,0.2750000059604645,-1.0,0.03333333507180214,1.0
9,dataset/origimg/org/image_top141.jpg,0.5929432511329651,0.0,0.22648875000000002,0.07127810254963285,535602.2753925843,9695.276611923799,0.5929432511329651,-1.0,-1.0,-1.0,0.5929432511329651,0.44999998807907104,1.0,1.0,-1.0,-1.0,1.0
10,dataset/origimg/org/image_open24.jpg,0.4464138150215149,0.0,0.24297750000000004,0.07134716972468494,463713.28077755583,9527.435780417121,0.4464138150215149,-1.0,-1.0,0.9207921028137207,-1.0,0.17499999701976776,0.8500000238418579,0.925000011920929,-1.0,0.925000011920929,-1.0
11,dataset/origimg/org/image_top285.jpg,0.7757804989814758,0.0,0.32187466666666664,0.09741534828572825,373301.159520984,8100.930674480075,0.7757804989814758,-1.0,-1.0,-1.0,0.7757804989814758,0.23749999701976776,0.75,1.0,-1.0,-1.0,1.0
12,dataset/origimg/org/image_top287.jpg,0.5249145030975342,0.0,0.25142166666666665,0.08555306845051734,627228.889463191,12423.613782374441,0.5249145030975342,-1.0,-1.0,0.7806544899940491,0.4078367054462433,0.11666666716337204,0.8500000238418579,0.8833333253860474,-1.0,0.824999988079071,1.0
13,dataset/origimg/org/image_open57.jpg,0.008542031049728394,0.0,0.415205,0.05575781963090235,602917.1569911721,10472.438491405663,0.008542031049728394,-1.0,-1.0,0.10891088843345642,-1.0,0.0,0.10000000149011612,0.10000000149011612,-1.0,0.10000000149011612,-1.0
14,dataset/origimg/org/image_top158.jpg,0.5891059637069702,0.0,0.34250777777777786,0.09608967708141104,442637.9856637489,10336.519161876879,0.5891059637069702,-1.0,-1.0,0.8201320171356201,0.590099036693573,0.2750000059604645,0.925000011920929,0.925000011920929,-1.0,0.8500000238418579,1.0
15,dataset/origimg/org/image_top148.jpg,0.6690356731414795,0.0,0.2264892307692308,0.04370550871671205,540176.2660332227,7005.24306437245,0.6690356731414795,-1.0,-1.0,-1.0,0.6690356731414795,0.30000001192092896,0.9750000238418579,1.0,-1.0,-1.0,1.0
