image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
0,dataset/origimg/org/image_top523.jpg,0.5049505233764648,0.0,0.01655,3.716369215877452e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
1,dataset/origimg/org/image_top246.jpg,1.0,0.0,0.030234999999999998,1.4104549610882006e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
2,dataset/origimg/org/image_open56.jpg,0.5049505233764648,0.0,0.61625,4.87290324213685e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
3,dataset/origimg/org/image_top583.jpg,0.5049505233764648,0.0,0.50421,1.040445516381494e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.25,0.5,0.5,-1.0,0.5,-1.0
4,dataset/origimg/org/image_top529.jpg,0.5049505233764648,0.0,0.02183,-1.7925413245759025e-07,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
5,dataset/origimg/org/image_top11.jpg,1.0,0.0,0.07889,1.6581533581378039e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,-1.0,1.0
6,dataset/origimg/org/image_top49.jpg,0.3366336524486542,0.0,0.16017,3.5675850585670243e-06,0.0,-1.0,0.3366336524486542,-1.0,-1.0,0.3366336524486542,-1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,-1.0,0.3333333432674408,-1.0
7,dataset/origimg/org/image_top274.jpg,1.0,0.0,0.031535,-3.4516610728323443e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
8,dataset/origimg/org/image_open45.jpg,0.2574257552623749,0.0,0.43536,3.624651165878845e-07,0.0,-1.0,0.2574257552623749,-1.0,-1.0,0.0,1.0,0.25,0.25,0.25,-1.0,0.0,1.0
9,dataset/origimg/org/image_top141.jpg,1.0,0.0,0.00297,4.79511984349942e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
10,dataset/origimg/org/image_open24.jpg,1.0,0.0,0.03139,-7.436208621439122e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
11,dataset/origimg/org/image_top285.jpg,1.0,0.0,0.1113025,-5.561781843588948e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.25,1.0,1.0,-1.0,-1.0,1.0
12,dataset/origimg/org/image_top287.jpg,1.0,0.0,0.01986,-6.939009643391197e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
14,dataset/origimg/org/image_top158.jpg,1.0,0.0,0.012045,2.4644486121042607e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
15,dataset/origimg/org/image_top148.jpg,1.0,0.0,0.01422,3.896555115476784e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
16,dataset/origimg/org/image_top264.jpg,1.0,0.0,0.00513,-3.328319328138943e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
17,dataset/origimg/org/image_top535.jpg,0.7524752616882324,0.0,0.20820000000000002,2.2388938315098575e-06,0.0,-1.0,0.7524752616882324,-1.0,-1.0,0.7524752616882324,-1.0,0.25,0.75,0.75,-1.0,0.75,-1.0
18,dataset/origimg/org/image_top16.jpg,1.0,0.0,0.00952,2.5986076473416553e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
19,dataset/origimg/org/image_open8.jpg,1.0,0.0,0.018706666666666667,2.850962261954857e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
20,dataset/origimg/org/image_open43.jpg,0.6633663177490234,0.0,0.007925,-2.8441984938143774e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.5049505233764648,1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.5,1.0
21,dataset/origimg/org/image_top468.jpg,0.8514851331710815,0.0,0.19318000000000002,-1.8201938822165937e-06,0.0,-1.0,0.8514851331710815,-1.0,-1.0,0.7524752616882324,1.0,0.1428571492433548,0.7142857313156128,0.8571428656578064,-1.0,0.75,1.0
22,dataset/origimg/org/image_open44.jpg,0.5049505233764648,0.0,0.9675,7.727307504978853e-07,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
24,dataset/origimg/org/image_top267.jpg,1.0,0.0,0.222855,2.969291480990621e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
